Tool,Link,PR Link,Root cause,Symptom,Fix Strategy,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/9941,https://github.com/checkstyle/checkstyle/pull/9942,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/8454,https://github.com/checkstyle/checkstyle/pull/8739,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/8455,https://github.com/checkstyle/checkstyle/pull/8740,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/1014,https://github.com/checkstyle/checkstyle/pull/1259,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3134,https://github.com/checkstyle/checkstyle/pull/4217,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2806,https://github.com/checkstyle/checkstyle/commit/553af5f4c777d513e7ce570dc32cf6d27654e9c4,Improper AST Traversal,False Negative,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/3210,https://github.com/checkstyle/checkstyle/pull/6803,Improper AST Traversal,False Negative,Redesign rule checker pattern,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/4383,https://github.com/checkstyle/checkstyle/pull/6840,Improper AST Traversal,False Negative,Fix Annotation Filter,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/6440,https://github.com/checkstyle/checkstyle/pull/6444,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/7041,https://github.com/checkstyle/checkstyle/pull/7039,Improper AST Traversal,False Negative,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/11736,https://github.com/checkstyle/checkstyle/pull/11827,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/10945,https://github.com/checkstyle/checkstyle/pull/10967,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/10020,https://github.com/checkstyle/checkstyle/pull/10093,Improper AST Traversal,False Positive,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/6540,https://github.com/checkstyle/checkstyle/pull/6640,Improper AST Traversal,False Positive,Redesign rule checker pattern,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/14,https://github.com/checkstyle/checkstyle/pull/111,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/131,https://github.com/checkstyle/checkstyle/commit/f0c6c6ad7c33dc8af5a46c6ae2ecdff24f13a70b,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/1246,https://github.com/checkstyle/checkstyle/commit/eef13e8c5ee6922af938d9eef3d73799ce71798b,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/1349,https://github.com/checkstyle/checkstyle/pull/1485,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/1187,https://github.com/checkstyle/checkstyle/commit/7b74f65b1048400bd37b2e897811e1591929da0a,Unrecognized Equivalent Annotations,False Positive,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/903,https://github.com/checkstyle/checkstyle/pull/2909,Improper AST Traversal,False Positive,Fix Annotation Filter,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/926,https://github.com/checkstyle/checkstyle/pull/1053,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2646,https://github.com/checkstyle/checkstyle/pull/2674,Improper AST Traversal,False Positive,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2250,https://github.com/checkstyle/checkstyle/pull/2674,Improper AST Traversal,False Positive,Fix Value Check,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2694,https://github.com/checkstyle/checkstyle/commit/9130eceb98d2c58c90e6cd6aa318017dd20cbd25,Improper AST Traversal,False Positive,Fix AST Node Retrieval,
CheckStyle,https://github.com/checkstyle/checkstyle/issues/2202,https://github.com/checkstyle/checkstyle/commit/9aa49c8f6d2b30577565f87984819e1df0d62d0f,Others,False Positive,Fix Incorrect API Usage,
